09:01:52.697 -> === /flight_11.csv (14568 bytes) ===
09:01:52.697 -> t_ms,alt_m,vel_ms,accel_G,pitch_deg,roll_deg,yaw_deg,temp_C,pressure_hPa,phase
09:01:53.438 -> 19168,14.3,-0.1,1.00,-73.1,-179.8,0.0,29.0,1015.1,5
09:01:53.438 -> 19324,14.2,-0.2,0.89,-70.5,-173.2,0.0,29.0,1015.1,5
09:01:53.438 -> 19425,14.2,-0.3,0.95,-69.9,165.0,0.0,29.0,1015.1,5
09:01:53.438 -> 19526,14.1,-0.3,1.04,-68.9,151.0,0.0,29.0,1015.1,5
09:01:53.438 -> 19629,14.1,-0.4,1.01,-67.6,151.1,0.0,29.0,1015.1,5
09:01:53.472 -> 19730,14.1,-0.4,0.99,-66.2,155.8,0.0,29.0,1015.1,5
09:01:53.472 -> 19831,14.0,-0.4,1.03,-66.0,160.0,0.0,29.0,1015.1,5
09:01:53.472 -> 19933,14.0,-0.4,1.02,-64.0,155.8,0.0,29.0,1015.1,5
09:01:53.472 -> 20035,13.9,-0.4,1.04,-60.1,153.7,0.0,29.0,1015.1,5
09:01:53.472 -> 20136,13.9,-0.4,1.04,-60.0,163.3,0.0,29.0,1015.2,5
09:01:53.472 -> 20237,13.8,-0.4,0.99,-61.0,160.0,0.0,29.0,1015.2,5
09:01:53.506 -> 20579,13.7,-0.5,1.02,-61.1,172.2,0.0,29.0,1015.2,5
09:01:53.506 -> 20680,13.7,-0.6,1.03,-61.9,173.1,0.0,29.0,1015.2,5
09:01:53.506 -> 20781,13.6,-0.6,1.03,-62.8,174.5,0.0,29.0,1015.2,5
09:01:53.506 -> 20883,13.6,-0.5,1.01,-60.3,-179.0,0.0,29.0,1015.2,5
09:01:53.506 -> 20985,13.5,-0.5,1.03,-60.3,-177.2,0.0,29.0,1015.2,5
09:01:53.506 -> 21086,13.5,-0.5,1.03,-60.9,179.8,0.0,29.0,1015.2,5
09:01:53.506 -> 21188,13.4,-0.5,0.98,-56.3,-173.1,0.0,29.0,1015.2,5
09:01:53.540 -> 21289,13.4,-0.6,0.96,-58.4,-169.4,0.0,29.0,1015.2,5
09:01:53.540 -> 21390,13.3,-0.6,1.01,-53.3,-175.8,0.0,29.0,1015.2,5
09:01:53.540 -> 21492,13.2,-0.7,1.00,-54.3,-171.2,0.0,29.0,1015.2,5
09:01:53.540 -> 21651,13.1,-0.7,0.95,-55.8,-165.2,0.0,29.0,1015.3,5
09:01:53.540 -> 21752,13.1,-0.7,1.03,-54.4,-163.2,0.0,29.0,1015.3,5
09:01:53.540 -> 21853,13.0,-0.7,1.04,-51.9,-166.8,0.0,29.0,1015.3,5
09:01:53.572 -> 21955,12.9,-0.7,0.96,-54.8,-164.0,0.0,29.0,1015.3,5
09:01:53.572 -> 22057,12.9,-0.7,1.01,-54.2,-161.9,0.0,29.0,1015.3,5
09:01:53.572 -> 22158,12.8,-0.7,1.00,-53.9,-162.8,0.0,29.0,1015.3,5
09:01:53.572 -> 22259,12.8,-0.7,1.00,-54.3,-166.7,0.0,29.0,1015.3,5
